アーチェリー,あーちぇりー
音読,おんどく
温度計,おんどけい
雄鶏,おんどり
女,おんな
女手,おんなで
女の子,おんなのこ
女偏,おんなへん
女湯,おんなゆ
温熱,おんねつ
怨念,おんねん
音読み,おんよみ
音量,おんりょう
母さん,かあさん
加圧,かあつ
カーディガン,かーでぃがん
カーテン,かーてん
カード,かーど
ガーナ,がーな
カーネーション,かーねーしょん
カーペット,かーぺっと
ガーリー,がーりー
カーリング,かーりんぐ
下位,かい
外,がい
改悪,かいあく
害悪,がいあく
外圧,がいあつ
ガイアナ,がいあな
海域,かいいき
飼い犬,かいいぬ
会員,かいいん
海運,かいうん
開園,かいえん
外苑,がいえん
買い置き,かいおき
快音,かいおん
開化,かいか
絵画,かいが
凱歌,がいか
開会,かいかい
海外,かいがい
外海,がいかい
改革,かいかく
開学,かいがく
外角,がいかく
貝殻,かいがら
開館,かいかん
海岸,かいがん
概観,がいかん
回帰,かいき
会議,かいぎ
外気,がいき
皆勤,かいきん
買い食い,かいぐい
海軍,かいぐん
会計,かいけい
外形,がいけい
解決,かいけつ
解決策,かいけつさく
会見,かいけん
開眼,かいげん
外見,がいけん
回顧,かいこ
介護,かいご
外交,がいこう
戒告,かいこく
外国,がいこく
介護士,かいごし
骸骨,がいこつ
開墾,かいこん
開催,かいさい
介在,かいざい
外債,がいさい
改作,かいさく
改札,かいさつ
解散,かいさん
改竄,かいざん
概算,がいさん
開始,かいし
外使,がいし
会社,かいしゃ
回診,かいしん
外信,がいしん
海水,かいすい
回生,かいせい
外政,がいせい
解析,かいせき
解説,かいせつ
会戦,かいせん
改善,かいぜん
凱旋,がいせん
蓋然,がいぜん
改組,かいそ
介添え,かいぞえ
会則,かいそく
海賊,かいぞく
快打,かいだ
解体,かいたい
解題,かいだい
開拓,かいたく
快諾,かいだく
買い溜め,かいだめ
外為,がいため
会談,かいだん
慨嘆,がいたん
外地,がいち
改築,かいちく
買い手,かいて
改定,かいてい
外敵,がいてき
回転,かいてん
外伝,がいでん
解答,かいとう
買い時,かいどき
解読,かいどく
害毒,がいどく
買取,かいとり
海難,かいなん
懐妊,かいにん
飼い主,かいぬし
買い値,かいね
概念,がいねん
会派,かいは
海馬,かいば
改廃,かいはい
外泊,がいはく
貝柱,かいばしら
開発,かいはつ
海抜,かいばつ
回避,かいひ
海浜,かいひん
回付,かいふ
外部,がいぶ
回復,かいふく
怪物,かいぶつ
回文,かいぶん
外聞,がいぶん
開閉,かいへい
外壁,がいへき
改変,かいへん
外米,がいまい
開幕,かいまく
快眠,かいみん
外務,がいむ
改名,かいめい
壊滅,かいめつ
海綿,かいめん
外面,がいめん
買い物,かいもの
開門,かいもん
外野,がいや
解約,かいやく
傀儡,かいらい
外来,がいらい
快楽,かいらく
回覧,かいらん
乖離,かいり
怪力,かいりき
戒律,かいりつ
海流,かいりゅう
貝類,かいるい
海嶺,かいれい
改暦,かいれき
回路,かいろ
街路,がいろ
概論,がいろん
会話,かいわ
界隈,かいわい
下院,かいん
替え歌,かえうた
替え玉,かえだま
楓,かえで
帰り際,かえりぎわ
返り血,かえりち
帰り道,かえりみち
蛙,かえる
火炎,かえん
顔,かお
顔色,かおいろ
家屋,かおく
顔立ち,かおだち
顔付き,かおつき
顔触れ,かおぶれ
顔負け,かおまけ
顔見世,かおみせ
顔役,かおやく
加温,かおん
画家,がか
加害,かがい
価格,かかく
化学,かがく
雅楽,ががく
科学館,かがくかん
科学者,かがくしゃ
案山子,かかし
踵,かかと
鏡,かがみ
鏡抜き,かがみぬき
係,かかり
係員,かかりいん
係官,かかりかん
篝火,かがりび
香川,かがわ
夏季,かき
鍵,かぎ
餓鬼,がき
書き置き,かきおき
かき氷,かきごおり
鉤裂き,かぎざき
書き初め,かきぞめ
書留,かきとめ
垣根,かきね
かぎの手,かぎのて
書き物,かきもの
課金,かきん
核,かく
家具,かぐ
学,がく
格上げ,かくあげ
各位,かくい
学位,がくい
画一,かくいつ
学院,がくいん
各駅,かくえき
学園,がくえん
各界,かくかい
閣議,かくぎ
学芸,がくげい
隔月,かくげつ
格言,かくげん
格差,かくさ
角材,かくざい
学際,がくさい
画策,かくさく
格下げ,かくさげ
拡散,かくさん
各氏,かくし
学士,がくし
格式,かくしき
学識,がくしき
隠し芸,かくしげい
確執,かくしつ
学者,がくしゃ
確信,かくしん
角錐,かくすい
学生,がくせい
拡声器,かくせいき
学籍,がくせき
隔絶,かくぜつ
学説,がくせつ
学卒,がくそつ
拡大,かくだい
楽隊,がくたい
楽団,がくだん
各地,かくち
画定,かくてい
カクテル,かくてる
確度,かくど
学徒,がくと
獲得,かくとく
確認,かくにん
隔年,かくねん
学年,がくねん
攪拌,かくはん
学費,がくひ
楽譜,がくふ
学部,がくぶ
額縁,がくぶち
隔壁,かくへき
確保,かくほ
角膜,かくまく
学名,がくめい
額面,がくめん
学問,がくもん
楽屋,がくや
確約,かくやく
神楽,かぐら
攪乱,かくらん
隔離,かくり
学理,がくり
確立,かくりつ
学齢,がくれい
隠れ家,かくれが
学歴,がくれき
隠れ里,かくれざと
隠れ蓑,かくれみの
各論,かくろん
学割,がくわり
家訓,かくん
賭,かけ
影,かげ
崖,がけ
駆け足,かけあし
家系,かけい
影絵,かげえ
駆け落ち,かけおち
歌劇,かげき
掛け金,かけきん
陰口,かげぐち
掛け声,かけごえ
掛け算,かけざん
可決,かけつ
花月,かげつ
掛け値,かけね
掛け橋,かけはし
駆け引き,かけひき
陰日向,かげひなた
陰干し,かげぼし
掛け持ち,かけもち
掛け物,かけもの
かけら,かけら
加減,かげん
過去,かこ
加護,かご
化合物,かごうぶつ
鹿児島,かごしま
篭屋,かごや
禍根,かこん
過言,かごん
傘,かさ
嵩上げ,かさあげ
風穴,かざあな
家裁,かさい
家財,かざい
画材,がざい
風上,かざかみ
風切り,かざきり
佳作,かさく
笠雲,かさぐも
風車,かざぐるま
風下,かざしも
傘立て,かさたて
傘張り,かさはり
カザフスタン,かざふすたん
かさぶた,かさぶた
風間,かざま
風見,かざみ
風見鶏,かざみどり
風向き,かざむき
飾り気,かざりけ
飾り物,かざりもの
加算,かさん
火山,かざん
下肢,かし
家事,かじ
貸し借り,かしかり
貸し金,かしきん
過失,かしつ
加湿器,かしつき
貸し手,かして
菓子パン,かしぱん
貸し間,かしま
貸し家,かしや
歌手,かしゅ
頭,かしら
柏,かしわ
柏手,かしわで
過信,かしん
かす,かす
数,かず
加水,かすい
鎹,かすがい
カスタネット,かすたねっと
カステラ,かすてら
数の子,かずのこ
霞,かすみ
風,かぜ
加勢,かせい
課税,かぜい
火成岩,かせいがん
化石,かせき
仮設,かせつ
風除け,かぜよけ
架線,かせん
河川敷,かせんしき
画素,がそ
数え歌,かぞえうた
数え年,かぞえどし
加速,かそく
家族,かぞく
ガソリン,がそりん
型,かた
片足,かたあし
カタール,かたーる
仮題,かだい
画題,がだい
片田舎,かたいなか
肩入れ,かたいれ
片腕,かたうで
片思い,かたおもい
肩書き,かたがき
片仮名,かたかな
型紙,かたがみ
片側,かたがわ
仇,かたき
敵討ち,かたきうち
敵役,かたきやく
家宅,かたく
片栗粉,かたくりこ
肩車,かたぐるま
片言,かたこと
肩凝り,かたこり
片隅,かたすみ
肩叩き,かたたたき
形,かたち
下達,かたつ
片づけ,かたづけ
片手,かたて
片手間,かたてま
片時,かたとき
刀,かたな
堅物,かたぶつ
塊,かたまり
形見,かたみ
片道,かたみち
片面,かためん
語り種,かたりぐさ
語り手,かたりて
語り部,かたりべ
カタログ,かたろぐ
型枠,かたわく
傍ら,かたわら
片割れ,かたわれ
加担,かたん
歌壇,かだん
画壇,がだん
価値,かち
価値観,かちかん
家畜,かちく
勝ち鬨,かちどき
勝ち星,かちぼし
勝ち負け,かちまけ
勝ち目,かちめ
カチューシャ,かちゅーしゃ
活,かつ
割愛,かつあい
かつお,かつお
活劇,かつげき
学校,がっこう
カッター,かったー
カッターナイフ,かったーないふ
カツ丼,かつどん
かっぱ巻き,かっぱまき
カップ,かっぷ
カップラーメン,かっぷらーめん
活躍,かつやく
かつら,かつら
滑落,かつらく
カツレツ,かつれつ
活路,かつろ
糧,かて
仮定,かてい
加点,かてん
家電,かでん
合点,がてん
過渡,かと
角,かど
加藤,かとう
門口,かどぐち
門出,かどで
門松,かどまつ
カトマンズ,かとまんず
仮名,かな
金網,かなあみ
家内,かない
金型,かながた
神奈川,かながわ
金具,かなぐ
金繰り,かなぐり
金沢,かなざわ
悲しみ,かなしみ
彼方,かなた
要,かなめ
金物,かなもの
かに,かに
果肉,かにく
かにみそ,かにみそ
カヌー,かぬー
金,かね
兼ね合い,かねあい
金貸し,かねかし
金子,かねこ
加熱,かねつ
金偏,かねへん
金目,かねめ
金持ち,かねもち
可燃,かねん
河馬,かば
画伯,がはく
蒲焼き,かばやき
河畔,かはん
鞄,かばん
下半身,かはんしん
可否,かひ
加筆,かひつ
画鋲,がびょう
花瓶,かびん
下部,かぶ
株価,かぶか
歌舞伎,かぶき
下腹部,かふくぶ
株券,かぶけん
株式,かぶしき
過不足,かふそく
兜,かぶと
兜蟹,かぶとがに
カブトムシ,かぶとむし
株主,かぶぬし
株安,かぶやす
かぶら,かぶら
被り物,かぶりもの
株分け,かぶわけ
花粉,かふん
壁,かべ
貨幣,かへい
壁板,かべいた
壁掛け,かべかけ
壁紙,かべがみ
壁土,かべつち
花弁,かべん
カボチャ,かぼちゃ
カホン,かほん
ガボン,がぼん
窯,かま
蒲,がま
鎌鼬,かまいたち
鎌切り,かまきり
蝦蟇口,がまぐち
かまくら,かまくら
かます,かます
竃,かまど
蒲鉾,かまぼこ
我慢,がまん
加味,かみ
神風,かみかぜ
髪形,かみがた
神々,かみがみ
上期,かみき
紙切れ,かみきれ
上座,かみざ
神様,かみさま
上下,かみしも
紙漉き,かみすき
紙製,かみせい
剃刀,かみそり
神棚,かみだな
神頼み,かみだのみ
上手,かみて
雷,かみなり
上の句,かみのく
上半期,かみはんき
紙一重,かみひとえ
紙袋,かみぶくろ
神業,かみわざ
仮眠,かみん
ガムテープ,がむてーぷ
かめ,かめ
加盟,かめい
カメラ,かめら
カメラマン,かめらまん
カメルーン,かめるーん
カメレオン,かめれおん
仮面,かめん
画面,がめん
鴨,かも
鴨居,かもい
科目,かもく
かもしか,かもしか
貨物,かもつ
カモメ,かもめ
家紋,かもん
蚊帳,かや
火薬,かやく
茅葺き,かやぶき
粥,かゆ
画用紙,がようし
火曜日,かようび
殻,から
柄,がら
がら空き,がらあき
からあげ,からあげ
空売り,からうり
カラオケ,からおけ
唐傘,からかさ
カラカス,からかす
空風,からかぜ
唐紙,からかみ
唐草,からくさ
がらくた,がらくた
辛口,からくち
からくり,からくり
烏,からす
硝子,がらす
ガラス瓶,がらすびん
体,からだ
カラチ,からち
空梅雨,からつゆ
空手,からて
空手形,からてがた
辛煮,からに
唐人,からびと
空振り,からぶり
カラフル,からふる
空回り,からまわり
搦め手,からめて
伽藍,がらん
仮,かり
刈り入れ,かりいれ
カリウム,かりうむ
仮初め,かりそめ
借り賃,かりちん
借り手,かりて
仮縫い,かりぬい
借り主,かりぬし
借り物,かりもの
軽石,かるいし
軽口,かるくち
カルシウム,かるしうむ
かるた,かるた
軽業,かるわざ
彼,かれ
加齢,かれい
カレー,かれー
枯れ木,かれき
瓦礫,がれき
彼氏,かれし
枯れ葉,かれは
可憐,かれん
カレンダー,かれんだー
川,かわ
側,がわ
可愛い,かわいい
可哀想,かわいそう
カワウソ,かわうそ
川風,かわかぜ
川上,かわかみ
川岸,かわぎし
皮切り,かわきり
川下り,かわくだり
革靴,かわぐつ
川下,かわしも
為替,かわせ
革製,かわせい
川蝉,かわせみ
川底,かわぞこ
川床,かわどこ
川開き,かわびらき
川縁,かわべり
川面,かわも
河原,かわら
瓦版,かわらばん
瓦葺き,かわらぶき
瓦屋根,かわらやね
変わり目,かわりめ
冠,かん
岩,がん
勘案,かんあん
岩塩,がんえん
棺桶,かんおけ
漢音,かんおん
感化,かんか
眼下,がんか
官界,かんかい
灌漑,かんがい
考え,かんがえ
感覚,かんかく
官学,かんがく
管轄,かんかつ
喚起,かんき
雁木,がんぎ
換気扇,かんきせん
柑橘,かんきつ
換金,かんきん
元金,がんきん
管区,かんく
玩具,がんぐ
岩窟,がんくつ
官軍,かんぐん
関係,かんけい
歓迎,かんげい
感激,かんげき
完結,かんけつ
官憲,かんけん
換言,かんげん
歓呼,かんこ
看護,かんご
観光,かんこう
観光客,かんこうきゃく
勧告,かんこく
監獄,かんごく
